ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
629027206,Photo,Red-headed Quelea,Quelea erythrops,,Betül Özdemir,2025-01-10,2025,1,10,1600,Tanzania,TZ-24,Tabora,,Igombe Dam,-4.8650205,32.7456057,"",,Unspecified,"","",,,,,,,S209123251,"",,,,,Quelea erythrops,rehque1,Species,30647,,4.00,1,,1775,2662
629027207,Photo,Red-headed Quelea,Quelea erythrops,,Betül Özdemir,2025-01-10,2025,1,10,1600,Tanzania,TZ-24,Tabora,,Igombe Dam,-4.8650205,32.7456057,"",,Unspecified,"","",,,,,,,S209123251,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,2181,3271
628878301,Photo,Red-headed Quelea,Quelea erythrops,,Fikret Ataşalan,2025-01-10,2025,1,10,1600,Tanzania,TZ-24,Tabora,,Tabora Igombe Dam,-4.8571538,32.7455048,"",,Unspecified,"","",,,,,,,S208738533,"",,,,,Quelea erythrops,rehque1,Species,30647,,5.00,1,,2647,3971
628878300,Photo,Red-headed Quelea,Quelea erythrops,,Fikret Ataşalan,2025-01-10,2025,1,10,1600,Tanzania,TZ-24,Tabora,,Tabora Igombe Dam,-4.8571538,32.7455048,"",,Unspecified,"","",,,,,,,S208738533,"",,,,,Quelea erythrops,rehque1,Species,30647,,4.00,1,,2150,3225
628293640,Photo,Red-headed Quelea,Quelea erythrops,,Morten Winther Dahl,2024-12-01,2024,12,1,1120,South Africa,ZA-NL,Kwazulu-Natal,,Emoyeni Grassland,-29.0005845,31.6638154,"",,Unspecified,"","",,,,,,,S204203435,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,2709,3932
628293636,Photo,Red-headed Quelea,Quelea erythrops,,Morten Winther Dahl,2024-12-01,2024,12,1,1120,South Africa,ZA-NL,Kwazulu-Natal,,Emoyeni Grassland,-29.0005845,31.6638154,"",,Unspecified,"","",,,,,,,S204203435,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,3119,4159
628293632,Photo,Red-headed Quelea,Quelea erythrops,,Morten Winther Dahl,2024-12-01,2024,12,1,1120,South Africa,ZA-NL,Kwazulu-Natal,,Emoyeni Grassland,-29.0005845,31.6638154,"",,Unspecified,"","",,,,,,,S204203435,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,2651,3651
627779172,Photo,Red-headed Quelea,Quelea erythrops,,Tom & Jenny Jackman,2024-11-30,2024,11,30,819,Uganda,UG-W,Western,,Lake Mburo NP,-0.5743150,30.9894043,"",,Unspecified,"","",,,,,,,S204933474,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,889,1119
627694595,Photo,Red-headed Quelea,Quelea erythrops,,Jens Thalund,2012-11-01,2012,11,1,630,Ethiopia,ET-GA,Gambela Peoples,,Gambela (town),8.2484195,34.5874500,"",,Unspecified,"","",,,,,,,S20684505,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,972,1275
627694596,Photo,Red-headed Quelea,Quelea erythrops,,Jens Thalund,2012-11-01,2012,11,1,630,Ethiopia,ET-GA,Gambela Peoples,,Gambela (town),8.2484195,34.5874500,"",,Unspecified,"","",,,,,,,S20684505,"",,,,,Quelea erythrops,rehque1,Species,30647,,.00,0,,1007,1225
