Session ID,Date/Heure de clic,Page visitée / Action,Utilisateur
sess_158,2024-03-24 08:54:30,Validation du panier,edfd91e63333b1afbbee6997af433ad3dc28ac1e5ac2f6d105eb8deaa210ac99
sess_530,2024-10-24 03:20:30,Ajout au panier du produit 33,aabd879e2e90dfb4b7337b346a11e0298afde682de1a923caeee4b188916522b
sess_808,2024-11-20 20:51:30,Visite de la page home,aabd879e2e90dfb4b7337b346a11e0298afde682de1a923caeee4b188916522b
sess_037,2025-01-24 22:27:30,Paiement effectué,0e1f760d348b1f2144415a387f2e0fc56d70ecf298ca9dcd5a7f931c22c7b7a3
sess_254,2024-05-26 12:43:30,Visite de la page about,85a35312b11692ab321aa21ac43ee5a6e600453d69b65a6f85e5dbebcedafdc9
sess_431,2024-07-11 09:36:30,Ajout au panier du produit 46,00d4fe1f1cd44d4cabdd437ab88ee4f412a6cf04b2d7400d936f365e9890c584
sess_975,2025-02-09 20:45:30,Recherche de 'parfum',223b85381ef3c1d66e6b489048f54572ae8fe24b5ce77c46937e9a903d18b5e6
sess_973,2024-11-05 21:04:30,Validation du panier,be85127f861e3e7ba3bdfe2db1e07027ffd6f28a035d4f9e617234c3bdda6a49
sess_287,2024-11-13 23:36:30,Avis laissé sur le produit 41,eb6fbe30cd9d94172436aa08874df77b0c61deb37d1764aa6d48925206c0df91
sess_722,2024-08-27 18:23:30,Avis laissé sur le produit 37,a64b8009371d2f39df68c815bfc7bff6abe164f79c7493eba82ae5e8334682f6
sess_247,2024-09-02 04:59:30,Visite de la page blog,8431e7b79007a4449c2663fa4aa8dd8bada8a02453eef72a66bb548bb328fe8d
sess_439,2024-12-12 01:13:30,Validation du panier,dec2a7b2fd5fbdc56ed4fbb512cc1d2f401ab6392bc08db9314ea56802e853c9
sess_690,2024-09-01 17:29:30,Ajout au panier du produit 11,bbf5e93a19056edb54831cb2edb3f7e060831aa25a56b2ca5d741c9d501c0af1
sess_770,2025-03-02 03:41:30,Ajout au panier du produit 0,ea4089dc52f18970104a668603c3d92c36436c40ad557624ad29eab584b914f2
sess_815,2024-06-17 15:34:30,Ajout aux favoris du produit 22,212085ffb12b1fcceae77e72724d075f356538c42a4d92950aaa3b43d558676e
sess_923,2024-11-19 20:25:30,Déconnexion de l'utilisateur,eda7052abd3aa839163786c2e99ffe84c9fd9f8556bfc61207212d7719727f9b
sess_906,2024-05-06 05:29:30,Recherche de 'airpod',8431e7b79007a4449c2663fa4aa8dd8bada8a02453eef72a66bb548bb328fe8d
sess_800,2024-03-24 18:47:30,Connexion de l'utilisateur,b38dc09bfdbb7fbbe9161b4f87191fb13c9636e8c222d72ae56a7736f275292e
sess_183,2024-07-06 02:06:30,Avis laissé sur le produit 0,2bd9e13c16df2d8f3f704876c7c3982b734f3dd84f64c7f995059ef71fcfe923
sess_157,2024-04-26 08:22:30,Paiement effectué,580db42ea45bb04ad58d466864f39574debd911bfae20e53ef73e429bfb8044b
sess_457,2024-10-20 07:29:30,Validation du panier,56eb7189d108abd5a6b0bfbc5dd8147f6a7d614639c51d25944aa64bddfb9986
sess_927,2024-10-13 05:30:30,Visite du produit 13,07e3e42e2e43846824f5ccad7127f35ed4ec0b7aead4a800a5e44c3f3793b90e
sess_964,2024-05-15 01:51:30,Paiement effectué,f5cbb661c06c88431592e03bf744be731c805e993d20c863160ea4c9ce9a8f78
sess_693,2024-03-24 17:42:30,Recherche de 'airpod',57aae2da99c047364608c21995891694ac2d05825db22cac2c22f07b99ad56cb
sess_790,2024-11-10 19:01:30,Partage du produit 49,f1fd5eee355834a86b13600f9b3d417a05e9a5a4fbfd51681b9c14765f99a400
sess_074,2025-03-09 10:21:30,Paiement effectué,0435b256eabff0027be88a196af4ae37419aab073b96f50d942cc5c19f238f12
sess_136,2024-12-05 05:04:30,Ajout au panier du produit 36,b9771b45fe79a5d6fb30758f5b848eec5d1fa4a35931aecd2ad067ed6dcde91e
sess_659,2024-07-03 10:48:30,Recherche de 'robe',2ddb0aa0f11c2c0649b28836ad7cafa99329749e44bf08d7047ff29fae8c608c
sess_671,2024-12-09 03:11:30,Recherche de 'airpod',212085ffb12b1fcceae77e72724d075f356538c42a4d92950aaa3b43d558676e
sess_742,2024-10-17 21:29:30,Visite de la page about,1f502f77c780bb438110c83adbb2028db47483e12b2fc02219936b135822cec7
sess_726,2024-11-07 15:47:30,Ajout au panier du produit 44,8a9d41cfeb77a4eca89d965e3396861370513aa35e1e1e9bd00f7e69aa6aa076
sess_991,2024-06-15 01:53:30,Ajout au panier du produit 2,549c16ff86c87ce5798d83ea842520e40d055e50106490c3ebce8fb1100d5855
sess_108,2024-12-03 23:17:30,Recherche de 'airpod',57aae2da99c047364608c21995891694ac2d05825db22cac2c22f07b99ad56cb
sess_444,2025-01-19 13:03:30,Connexion de l'utilisateur,1860f85772d44474b061e9f5d9d04c58883de602990b9efb8d7f6d7cbe54e90b
sess_957,2024-05-26 10:37:30,Paiement effectué,428dbb41b15861a2e47f1d86cf4cdf900f989fb722a2d497d7c574c117c5d4ef
sess_847,2024-06-20 15:57:30,Visite de la page blog,b9771b45fe79a5d6fb30758f5b848eec5d1fa4a35931aecd2ad067ed6dcde91e
sess_519,2024-10-24 00:32:30,Ajout aux favoris du produit 14,fbf8bfcfe4d026208920d66a6455bc2afb7cc40ad473bfbf675a9ee951506d66
sess_352,2024-06-19 00:59:30,Validation du panier,428dbb41b15861a2e47f1d86cf4cdf900f989fb722a2d497d7c574c117c5d4ef
sess_083,2024-08-05 15:28:30,Modification du profil utilisateur,0335a212fc597088f60562b11111128259c56dfe6c954e564a3085c74f8fcd26
sess_123,2024-08-17 08:30:30,Avis laissé sur le produit 5,ea4089dc52f18970104a668603c3d92c36436c40ad557624ad29eab584b914f2
sess_091,2025-01-25 16:52:30,Recherche de '',be85127f861e3e7ba3bdfe2db1e07027ffd6f28a035d4f9e617234c3bdda6a49
sess_912,2025-03-11 03:03:30,Recherche de 'airpod',541232e2ec5c4ccaf8562e52e48417dc9b6bcfe02a4241921d3e1ae9252a78b7
sess_861,2025-02-14 07:23:30,Ajout aux favoris du produit 5,2bd9e13c16df2d8f3f704876c7c3982b734f3dd84f64c7f995059ef71fcfe923
sess_603,2024-10-26 01:16:30,Recherche de 'airpod',e108eb775c8275d9a75217302030aac86693458c49c2a3812f55fbeefd557b26
sess_200,2024-04-02 06:40:30,Ajout aux favoris du produit 12,40663e44e8b86fad3d052d859b0803ba7665b4e6dd350e1e3308bfe9f7f8cecc
sess_587,2024-04-21 19:21:30,Validation du panier,549c16ff86c87ce5798d83ea842520e40d055e50106490c3ebce8fb1100d5855
sess_370,2024-10-16 01:55:30,Visite de la page home,db1a12d06d8ff0e81cc63cbfa58bf106bf9a500616d26ccd10a6643cd12ad298
sess_324,2024-08-18 17:22:30,Déconnexion de l'utilisateur,56d275951b57d7abb40a0a6c524a636a45edd878422d3720e9c33dd737284552
sess_987,2024-06-29 14:42:30,Ajout aux favoris du produit 11,aabd879e2e90dfb4b7337b346a11e0298afde682de1a923caeee4b188916522b
sess_193,2024-05-20 17:45:30,Modification du profil utilisateur,5cbeffca93e9f9bc0674bdbff6dc084b2d6c8dcff687d86ef4342026b020f8d4
sess_297,2024-12-03 06:05:30,Recherche de 'ordinateur',57aae2da99c047364608c21995891694ac2d05825db22cac2c22f07b99ad56cb
sess_310,2024-05-19 07:51:30,Ajout au panier du produit 38,2bd9e13c16df2d8f3f704876c7c3982b734f3dd84f64c7f995059ef71fcfe923
sess_685,2024-05-12 23:45:30,Ajout aux favoris du produit 6,c4e485c5c5d7e18487bee9521368a40e0415b1f0572c2207e799eca867ce4af4
sess_252,2024-03-25 22:50:30,Déconnexion de l'utilisateur,ee15212f3155814c1778facab66b330688484fec08069be2e51f5ef930b9f3fa
sess_100,2024-04-10 12:22:30,Paiement effectué,7b1c6c05840779957185cab4ac2b65328a12a44a4a4032a6fc93d2039a24ce59
sess_664,2024-10-11 04:51:30,Partage du produit 15,dec2a7b2fd5fbdc56ed4fbb512cc1d2f401ab6392bc08db9314ea56802e853c9
sess_091,2024-10-29 20:37:30,Ajout au panier du produit 27,7b1c6c05840779957185cab4ac2b65328a12a44a4a4032a6fc93d2039a24ce59
sess_679,2024-06-28 07:56:30,Validation du panier,d89fdb97cd7ddea12cb4d9b34020a216b4160c499f018c1a5795409ab8e594f8
sess_733,2024-10-26 19:19:30,Ajout au panier du produit 7,aabd879e2e90dfb4b7337b346a11e0298afde682de1a923caeee4b188916522b
sess_604,2024-10-12 14:36:30,Paiement effectué,00d4fe1f1cd44d4cabdd437ab88ee4f412a6cf04b2d7400d936f365e9890c584
sess_871,2024-10-25 04:07:30,Déconnexion de l'utilisateur,34bafbdff6ea5f858b4f9be992462291bf61c9f8e6d017317c1e4b1f703f1b06
sess_926,2024-04-13 00:22:30,Ajout au panier du produit 41,dedb09928b319c3274fb890ca3ccf368df6a1b507ebe09c6a2e06997c36d4689
sess_243,2024-06-21 22:30:30,Paiement effectué,a5171e4f79564ffde48dc71f519b58ab7ac3d276dedf5a8738cf691af227874c
sess_821,2024-06-28 09:40:30,Connexion de l'utilisateur,b679e9ff72c52adf5e66bd74fc4999005d9a2a57eac35cda0a5d06dc4a55b4a2
sess_555,2024-07-25 06:39:30,Visite du produit 47,541232e2ec5c4ccaf8562e52e48417dc9b6bcfe02a4241921d3e1ae9252a78b7
sess_539,2024-08-07 02:31:30,Validation du panier,a4b8440a6eae00a9d488c8c0c092cbd37d9c712320eba1494df29a5b3cda8de9
sess_619,2024-03-17 21:09:30,Validation du panier,fa7934be6180e0a12eb621d7970f7d1bfc2084491ec4d527d94b3d52006a454e
sess_078,2025-01-18 07:05:30,Visite de la page products,70b7db9d8e2da47f812a7597f2a004dcedb5b34093503abd87ffce20e73b7d8a
sess_971,2024-06-22 08:58:30,Déconnexion de l'utilisateur,a2d7cd384f0879c751ebb9a266d827ef0eb85e6266a53faafd9677e056ac36b8
sess_743,2024-11-17 11:44:30,Validation du panier,dedb09928b319c3274fb890ca3ccf368df6a1b507ebe09c6a2e06997c36d4689
sess_415,2024-09-16 03:37:30,Avis laissé sur le produit 47,721b68441566051b63df73c13927aaa18fc595b8e3c1b1d24b58d4611fc647b9
sess_741,2024-10-02 04:49:30,Recherche de 'robe',b0c65bae406373710a28c37f14162181f81e6bfa9f31a1fdac0fc6c24e9a5b25
sess_352,2024-03-25 07:37:30,Recherche de 'téléphone',31678bc19f0e2d1209f49cb8859744fa588cdb44a22936cca04cd4e064b255c3
sess_284,2025-01-15 11:37:30,Connexion de l'utilisateur,541232e2ec5c4ccaf8562e52e48417dc9b6bcfe02a4241921d3e1ae9252a78b7
sess_788,2024-03-15 03:00:30,Connexion de l'utilisateur,e40296a651442d7f554cfca600d6d42088b7f2d6ab4f3957bffa6b87d79d4cb6
sess_918,2024-03-23 04:05:30,Ajout aux favoris du produit 41,97861b647c16242a760be1f258194f19a049cf1a0ccda338c01c8f996411858b
sess_859,2025-01-09 15:38:30,Modification du profil utilisateur,0335a212fc597088f60562b11111128259c56dfe6c954e564a3085c74f8fcd26
sess_002,2024-11-07 15:19:30,Déconnexion de l'utilisateur,bd329b5307f1a24533e9980fda521222c75b32c27ff7c661f1e8b466f440cf5f
sess_165,2024-07-04 20:49:30,Visite de la page blog,92cce644d12e8926c5b7a6bf4ff766d17e2fca0bf6ff2d1fdd83108140d2c332
sess_833,2024-10-02 11:00:30,Ajout au panier du produit 17,591b1d880a91260982684d51cc724acf5e5863a29b6c66ee95ed6e5830ba9995
sess_844,2024-09-21 04:33:30,Avis laissé sur le produit 35,f5cbb661c06c88431592e03bf744be731c805e993d20c863160ea4c9ce9a8f78
sess_074,2024-12-13 16:28:30,Paiement effectué,bbf5e93a19056edb54831cb2edb3f7e060831aa25a56b2ca5d741c9d501c0af1
sess_147,2024-08-13 21:02:30,Modification du profil utilisateur,a3f9063068792a35e2a0b6db5581169a812a771640e19ed2bc6dff8071d7dbb4
sess_608,2024-11-04 02:05:30,Visite du produit 36,a67ba3b956a39f77d2d51bb9d88c066a5968827b46a386cf11a81915ac0069dd
sess_218,2024-10-11 18:44:30,Recherche de 'ordinateur',0e1f760d348b1f2144415a387f2e0fc56d70ecf298ca9dcd5a7f931c22c7b7a3
sess_114,2024-04-13 17:03:30,Visite du produit 38,e40296a651442d7f554cfca600d6d42088b7f2d6ab4f3957bffa6b87d79d4cb6
sess_941,2025-03-03 20:08:30,Modification du profil utilisateur,78aba687cd2d054fae90c4db0cb9667d5336ea6303da8bca7cdd36575f3a9465
sess_159,2025-02-06 01:14:30,Ajout au panier du produit 30,ae337887c12e8eccb83128c2a6d8851cf5018b3a39f8c823280e82f18c17199e
sess_684,2024-09-27 11:34:30,Validation du panier,fa0c1eee15b23c9d3be26407b40b46fc46b4c0a2ab8ed0399dd3401f53eccf3f
sess_125,2024-08-11 21:45:30,Modification du profil utilisateur,ff9f6a2a6cd5114a1e89cf7e3065ed6626649574afed56abc5e11c7b118aaf7f
sess_693,2025-03-05 03:35:30,Déconnexion de l'utilisateur,7b1c6c05840779957185cab4ac2b65328a12a44a4a4032a6fc93d2039a24ce59
sess_691,2024-03-31 17:29:30,Visite de la page about,fbf8bfcfe4d026208920d66a6455bc2afb7cc40ad473bfbf675a9ee951506d66
sess_146,2025-01-15 11:52:30,Ajout au panier du produit 42,dec2a7b2fd5fbdc56ed4fbb512cc1d2f401ab6392bc08db9314ea56802e853c9
sess_100,2025-01-14 16:42:30,Paiement effectué,a5171e4f79564ffde48dc71f519b58ab7ac3d276dedf5a8738cf691af227874c
sess_993,2024-08-19 01:10:30,Déconnexion de l'utilisateur,34bafbdff6ea5f858b4f9be992462291bf61c9f8e6d017317c1e4b1f703f1b06
sess_896,2024-05-08 17:00:30,Avis laissé sur le produit 33,56eb7189d108abd5a6b0bfbc5dd8147f6a7d614639c51d25944aa64bddfb9986
sess_644,2024-12-17 02:59:30,Ajout au panier du produit 9,541232e2ec5c4ccaf8562e52e48417dc9b6bcfe02a4241921d3e1ae9252a78b7
sess_828,2025-01-02 08:21:30,Modification du profil utilisateur,b9771b45fe79a5d6fb30758f5b848eec5d1fa4a35931aecd2ad067ed6dcde91e
sess_637,2024-09-22 08:11:30,Connexion de l'utilisateur,31678bc19f0e2d1209f49cb8859744fa588cdb44a22936cca04cd4e064b255c3
sess_977,2025-02-18 22:31:30,Visite de la page home,00d4fe1f1cd44d4cabdd437ab88ee4f412a6cf04b2d7400d936f365e9890c584
sess_445,2024-05-23 06:15:30,Déconnexion de l'utilisateur,036c813b003259b73c8da3c223554e3766cb6f757177a00c736cce05859e25b9
sess_881,2025-01-12 22:23:30,Ajout au panier du produit 39,78aba687cd2d054fae90c4db0cb9667d5336ea6303da8bca7cdd36575f3a9465
sess_708,2024-03-18 08:51:30,Partage du produit 10,223b85381ef3c1d66e6b489048f54572ae8fe24b5ce77c46937e9a903d18b5e6
sess_703,2024-11-30 21:32:30,Validation du panier,541232e2ec5c4ccaf8562e52e48417dc9b6bcfe02a4241921d3e1ae9252a78b7
sess_911,2024-10-20 07:32:30,Connexion de l'utilisateur,428dbb41b15861a2e47f1d86cf4cdf900f989fb722a2d497d7c574c117c5d4ef
sess_468,2024-11-25 08:05:30,Connexion de l'utilisateur,97861b647c16242a760be1f258194f19a049cf1a0ccda338c01c8f996411858b
sess_658,2024-11-07 04:07:30,Avis laissé sur le produit 29,1c2cec4ecd9292b35f058951de816c1842b807b0408cf15468930771662f4055
sess_913,2024-08-13 16:26:30,Paiement effectué,212085ffb12b1fcceae77e72724d075f356538c42a4d92950aaa3b43d558676e
sess_712,2024-08-25 03:19:30,Recherche de 'téléphone',b4f06f0b4c2c5cc0d07c4101e099ab9a7bbd4be8ea697300b9aa11453fcdb832
sess_091,2024-12-07 08:50:30,Partage du produit 28,591b1d880a91260982684d51cc724acf5e5863a29b6c66ee95ed6e5830ba9995
sess_674,2025-02-24 06:32:30,Visite du produit 48,aff66436d812f8fd0150afbd2cbc0dd89e693961a48b0356087c669100f8863b
sess_776,2024-12-25 12:04:30,Ajout aux favoris du produit 1,bd329b5307f1a24533e9980fda521222c75b32c27ff7c661f1e8b466f440cf5f
sess_882,2024-08-26 19:34:30,Partage du produit 4,aff66436d812f8fd0150afbd2cbc0dd89e693961a48b0356087c669100f8863b
sess_374,2024-07-26 08:54:30,Avis laissé sur le produit 0,e1bc746d3ed27e29094024e6b91fe6157ac394c4772a15258375de9d726240f7
sess_390,2025-01-03 12:00:30,Avis laissé sur le produit 13,5398a3f8a28fc57ad6ed399f870b2cbc94fee0d0e7563f6dc69356bb34ef2523
sess_201,2024-08-24 08:00:30,Visite de la page home,ee15212f3155814c1778facab66b330688484fec08069be2e51f5ef930b9f3fa
sess_659,2024-04-28 07:49:30,Validation du panier,dec2a7b2fd5fbdc56ed4fbb512cc1d2f401ab6392bc08db9314ea56802e853c9
sess_537,2024-05-07 09:06:30,Ajout au panier du produit 0,549c16ff86c87ce5798d83ea842520e40d055e50106490c3ebce8fb1100d5855
sess_265,2024-08-26 03:07:30,Partage du produit 31,0335a212fc597088f60562b11111128259c56dfe6c954e564a3085c74f8fcd26
sess_262,2024-06-06 05:39:30,Visite du produit 2,ee15212f3155814c1778facab66b330688484fec08069be2e51f5ef930b9f3fa
sess_984,2024-10-26 02:36:30,Recherche de 'téléphone',dedb09928b319c3274fb890ca3ccf368df6a1b507ebe09c6a2e06997c36d4689
sess_927,2024-03-14 11:21:30,Modification du profil utilisateur,00d4fe1f1cd44d4cabdd437ab88ee4f412a6cf04b2d7400d936f365e9890c584
sess_054,2024-04-12 00:20:30,Partage du produit 2,212085ffb12b1fcceae77e72724d075f356538c42a4d92950aaa3b43d558676e
sess_486,2024-07-31 05:53:30,Déconnexion de l'utilisateur,a64b8009371d2f39df68c815bfc7bff6abe164f79c7493eba82ae5e8334682f6
sess_194,2024-06-04 18:15:30,Déconnexion de l'utilisateur,1c2cec4ecd9292b35f058951de816c1842b807b0408cf15468930771662f4055
sess_783,2024-11-04 10:42:30,Modification du profil utilisateur,2ddb0aa0f11c2c0649b28836ad7cafa99329749e44bf08d7047ff29fae8c608c
sess_946,2024-06-23 07:28:30,Paiement effectué,b9771b45fe79a5d6fb30758f5b848eec5d1fa4a35931aecd2ad067ed6dcde91e
sess_432,2024-10-09 08:08:30,Avis laissé sur le produit 29,56eb7189d108abd5a6b0bfbc5dd8147f6a7d614639c51d25944aa64bddfb9986
sess_940,2024-03-25 05:18:30,Ajout aux favoris du produit 22,97861b647c16242a760be1f258194f19a049cf1a0ccda338c01c8f996411858b
sess_499,2024-03-19 15:47:30,Visite de la page products,a4b8440a6eae00a9d488c8c0c092cbd37d9c712320eba1494df29a5b3cda8de9
