Commande_ID,Date,Produit_ID,Quantité,Montant
0bc5a18d-48a2-45cb-b76a-f137ddaf1572,2024-03-20 11:29:44.390716,3735,2,1825.3
ae7971dc-775a-4d14-b342-bca4a92d9485,2025-01-22 14:26:13.774468,449,1,1869.94
90e15dbe-3b4a-40fe-974d-212e0b252c65,2023-07-11 20:35:41.702171,1734,3,2536.08
c132bf37-ebbb-4781-8356-8e066be31879,2023-10-02 19:53:46.090444,3892,1,2684.68
bd2f066f-598f-4041-82f3-bc1250b21df6,2023-03-28 22:56:15.484472,2465,5,871.06
03ec2d48-f4c4-492c-b4d8-5a4fe5fad1b5,2022-10-26 06:42:22.683108,4906,8,411.65
6d0c3b9c-2f91-4a9f-925f-b2ba70e19f8e,2023-02-27 19:34:53.847711,2358,6,4524.37
39b6bbc9-8766-4c38-9e49-7e3fac84598a,2023-04-16 08:24:29.879314,4750,6,516.9
3c840526-d79c-4dda-9c60-6f2c8d06651f,2024-02-11 00:45:44.966375,3508,1,4226.55
7c24d1f4-838b-42d1-8f2c-a9f28a09ad15,2024-02-15 00:02:41.983719,446,3,3138.85
ae673aac-433c-4445-8dae-f8f8268c8633,2025-02-10 14:28:50.826645,3243,1,11.31
2932028a-6674-4684-ad05-b1dd88bbf47c,2023-01-11 02:29:02.587297,90,1,1439.8
f51e568a-0817-4700-bcc3-f778360b2a50,2023-02-23 19:21:15.025951,2956,3,1990.86
58da5d08-34cb-48d3-b891-2416ec281305,2024-02-14 10:40:42.890280,3525,1,1540.67
40155471-7397-49b9-9ef1-1a174e203d58,2023-09-10 04:03:12.979682,754,7,2420.34
054245c2-fdcd-477f-b91a-46d6f72eead7,2023-06-18 21:18:17.242526,4237,8,3595.18
77ca7437-dfbf-4231-85de-11075c85c802,2023-11-08 10:57:33.870577,3214,10,3771.98
7aace692-2cae-49fe-be13-f7846f4b908f,2022-06-28 07:41:19.483557,390,4,2654.23
1e67047a-a955-4b15-8e26-5a8e01314669,2022-08-09 16:47:22.142679,3057,1,3051.71
d91773e9-205e-49f7-a928-50e5d0b1cf1e,2022-06-23 07:27:59.721368,2199,2,2825.72
9c74898c-b3be-4aa2-81cf-b1ae6a77cae4,2024-06-13 07:05:36.679069,3228,10,2679.66
cbbee2fd-c967-4d3b-9f75-1c08c2928808,2023-05-02 11:52:31.810540,2314,2,776.93
688d5da7-4503-4a7c-b08c-ac67b494c510,2024-06-11 01:58:23.718556,1441,8,2033.01
5c7088f7-327b-4acf-b5fc-fb36da8cb0dd,2023-06-25 15:56:36.985962,3733,1,1526.68
15b2bb39-c6c3-4e41-9177-c7942a70a96b,2024-10-09 15:10:31.950570,4070,10,712.4
f89fb63c-dbc7-402d-818c-9ed26908401a,2022-04-05 04:13:50.570286,1263,8,1602.99
b7cccf02-39d4-49ab-8730-17cf45d0d47e,2023-01-10 02:44:45.453507,2114,2,3651.42
ad74be11-df10-4480-977a-c61b1acd028f,2023-04-10 19:50:44.322430,4619,2,3750.01
98884c6d-a62a-4ed0-9258-61380089768b,2023-10-25 13:55:55.566762,2074,5,1114.91
0ac8371a-8762-4924-983b-b5efbcdab9cc,2022-10-21 06:42:31.239069,205,1,1189.61
c61222c6-1719-40a3-99bb-f62304e8a424,2022-05-03 02:15:28.429164,3276,3,2331.14
63673cb2-1e48-49ee-bbf9-77ed278e8652,2024-02-14 07:00:30.252318,4924,7,4249.69
1335a892-d20a-4d12-ab25-2c6af991d840,2024-05-29 20:02:39.984242,4328,10,1693.51
0b462035-8c96-454e-8312-56ca82f0ed81,2022-09-28 01:43:27.887203,4437,3,1986.2
fd612965-5d1f-4ef0-ad7f-cdacfae4789a,2022-06-29 05:25:26.591780,2244,10,546.76
60437715-5cba-4ee7-b9a2-21b417b9d137,2022-09-12 17:12:29.306328,4231,9,4932.31
b9f51e2f-3990-446d-9fb4-8613ad2410aa,2022-06-02 12:09:45.642312,1067,3,4709.67
7f60e9a4-f5f4-4c12-8258-3a2b414d06b9,2023-06-28 09:48:21.995998,792,4,2911.01
1d7193b4-75cf-4408-8373-bca7a9ad696a,2022-12-15 14:55:16.050976,4500,6,3615.76
a812dca1-4b8d-4b01-856e-05029012de39,2022-11-11 05:03:27.137058,3875,7,242.79
0ed76e5f-d673-4723-a2cc-f852766e9d2d,2022-08-16 00:05:47.619473,2364,5,358.76
2836a392-73fa-4282-a736-0587fafc73c5,2024-12-07 08:51:25.559361,3443,5,2600.33
a965d15b-99e3-4099-b22c-cf6d157dc98b,2023-05-20 05:16:26.297245,4237,1,3100.78
1c81539e-8150-4f33-9a2a-6c92f96a5bb7,2023-09-26 07:59:09.807399,2628,3,2903.52
3d2cb7df-d5f4-4ea4-ba35-c8bc3ba6bf2f,2023-02-19 12:03:55.992580,3498,5,3979.88
c080a64c-79ee-4178-9bb8-670ea3c66267,2022-12-21 06:11:52.212895,252,9,1435.56
247a22c4-71e3-4bf9-b65c-52d55d3445c7,2023-10-08 05:53:44.510267,1519,6,4855.39
14654e5d-b537-4490-ae9f-7b249d90f114,2024-10-19 12:26:56.633665,4115,3,4641.63
d93f0fa4-c598-4eff-ac13-86745c1f4969,2023-05-05 07:12:21.841350,1171,5,542.82
8e80fb5d-861a-43d6-acd5-3e93a08b4f93,2022-08-25 14:34:19.082796,1520,6,2538.61
aedff1a4-e91e-4525-800e-c347a2bd26a6,2025-01-11 10:43:14.379620,4126,2,1086.62
7c87807b-f1cf-4ff1-95a9-5433aad68c5c,2023-04-17 14:37:44.364112,4381,1,3315.97
f0c69ec5-3821-4b89-a15f-d8ab2021bf4f,2023-04-17 21:02:58.483734,2298,10,272.56
0b91205e-4ce8-4cb4-9fa9-d297996c87f5,2023-12-05 23:24:49.045797,2508,6,1718.8
b3ad893c-2d0c-4759-9293-ccbbf6e515f7,2024-08-28 11:36:39.997481,3307,2,3067.54
fb3c01ef-0e85-4979-af02-b34bfd8da986,2023-05-19 07:06:04.066993,3765,2,339.3
d954b96e-8b20-4a0a-b12f-28d8e64a2bbf,2022-05-06 23:28:34.813304,928,3,2439.93
6ee6598e-e5e1-4230-a374-d5b9c12af6c2,2023-01-18 00:08:42.049615,3565,10,222.59
25bf7492-e8ee-42a9-afed-41e7d18f7092,2024-12-25 14:14:56.397058,2763,7,4718.8
e6f9715d-86c1-4378-83f0-d7365bef032b,2023-01-16 14:09:41.115492,4039,10,283.39
adeba763-104f-4ea7-8c3a-23b2a05ce10a,2023-06-09 20:05:28.624663,2162,7,813.45
57f808a1-f650-4714-ac6f-381393d400ca,2022-07-10 16:05:37.366832,3296,5,3560.44
689d0055-5b92-4954-ba0e-fb4ed0842b31,2022-04-04 02:19:03.749703,4115,2,2352.2
4ad6f186-ef49-4724-8bb0-910aee9962d3,2023-08-31 23:49:40.573676,1780,7,2515.73
173d973d-8b35-4e1d-9be7-966c329fc096,2024-11-17 12:20:48.400238,4768,9,4531.88
219c582b-0e18-406b-9692-6dc59f0d5fef,2023-12-19 23:51:52.105914,4689,4,4221.98
d53c957e-f5a9-44e2-aa7f-f9c22c1be3e8,2023-04-03 04:07:17.627149,1825,10,1617.12
e6cea163-9c5d-4359-9eae-557c7d8e7c5b,2023-02-04 00:35:58.663146,1910,2,4210.46
353df03b-3089-45f5-a3e8-c55971d8e05b,2023-02-14 23:28:27.332115,2248,1,2351.08
e6901290-a089-4f1d-9db0-4286122ed3d6,2024-05-24 23:42:03.631199,1025,3,2456.89
3c9cedbf-8bd9-4f74-8da6-85e2e71ed330,2024-11-27 20:11:14.567546,3629,1,191.12
8694e079-9f37-4f0c-ba04-5be72f953b99,2022-08-13 14:47:57.701737,895,6,3945.42
4586d70e-8ce6-494d-bffb-95a950c5f3b2,2024-04-19 22:02:26.067480,1578,10,364.51
9b2df40e-6860-4211-ad47-f7e1c7239abc,2024-05-13 03:37:57.193079,3455,3,1201.06
025be290-7d27-421d-9f21-c018a62c1b51,2024-08-10 07:20:07.536163,2747,5,2777.33
b1b13d9b-b790-49b9-a323-b96cc3e762ad,2022-09-30 23:38:20.099172,1744,2,138.06
12ef8720-3e2a-40c9-a6c2-2af470a8f936,2022-10-18 16:07:18.459579,4630,6,1037.54
e6c69803-1f67-41c9-8b7c-ad5f8f2eff79,2022-04-07 06:28:04.432063,1915,1,621.94
523cf494-0d82-4207-8a5b-3e45de33bf24,2024-12-30 02:06:06.021310,3217,3,426.23
3ce76d14-42f7-4930-9053-a1d8f5613e9a,2022-07-08 21:51:12.167155,437,3,262.93
ccf1fa01-1a97-41c6-89e6-cafb13b061cb,2022-12-26 22:01:20.297975,3362,4,2073.09
14dec4a8-e49e-42af-ab8f-aec9582d8833,2024-01-04 01:49:37.776988,3992,5,2375.88
c05cb416-8091-40f1-a240-91aa10aea06b,2022-04-10 21:22:49.164791,156,2,3172.7
2cb3b00c-4c2e-4e54-b123-26a4e66c6f0e,2022-04-04 18:22:12.978330,1719,7,1996.02
d665448e-5347-4215-ad29-d7eb42634d8f,2022-10-12 06:46:55.334465,135,2,4728.88
8109f1a9-7b1e-4b5e-8cb9-b24339b9c02d,2023-08-28 12:13:18.180034,489,8,2288.81
3b9ea5e9-8aa2-4b51-8f2a-71f50bca598f,2024-02-09 22:13:09.072478,139,5,1526.16
81c62bd5-1ef3-4d6b-a333-7d1a5a892585,2024-02-18 18:24:25.786054,290,8,3418.2
e1127969-5f49-4985-b5d8-a4de3971a99a,2024-05-07 11:46:51.607030,471,4,3159.55
b68bd7a3-f18d-48e8-afde-f8912114f762,2024-07-11 05:27:58.712754,965,4,4962.37
eb6ca900-e310-421b-8cee-3c2089085be1,2023-08-03 09:38:58.882942,2019,4,1526.15
ed46b92b-251d-4e27-9486-1e7ae185d2b4,2023-08-20 21:45:58.106424,2427,10,4497.47
4119dc8a-e254-464d-ab44-43b51ae12e71,2023-02-07 08:25:14.539782,1942,9,460.57
675f7f87-d4d8-44c6-874e-1467fc86c61f,2024-11-03 09:36:33.549049,4815,1,4202.69
46c79d24-dbb5-411f-86f7-5a37457455af,2023-11-12 08:24:35.634432,3505,9,2391.87
